계정코드,계정과목,전월말잔액,당월차변,당월대변,당월말잔액
1010,현금및현금성자산,"12,400,000","48,600,000","47,900,000","13,100,000"
1020,보통예금,"76,300,000","478,900,000","470,680,000","84,520,000"
1025,정기예금,"50,000,000",,0,"50,000,000"
1030,매출채권,"398,000,000","486,200,000","471,900,000","412,300,000"
1035,대손충당금,0,0,0,0
1040,미수금,"8,200,000","3,100,000","2,600,000","8,700,000"
1050,선급비용,"3,400,000","1,800,000","1,500,000","3,700,000"
1060,재고자산,"156,700,000","330,000,000","318,000,000","168,700,000"
1070,가지급금,"2,300,000",0,0,"2,300,000"
1210,비품,"97,800,000","24,000,000",0,"121,800,000"
1215,감가상각누계액(비품),"(63,320,000)",0,"1,625,000","(64,945,000)"
1220,차량운반구,"106,000,000",0,0,"106,000,000"
1225,감가상각누계액(차량),"(52,537,468)",0,"1,504,166","(54,041,634)"
1230,기계장치,"402,960,000",0,0,"402,960,000"
1235,감가상각누계액(기계),"(131,875,000)",0,"4,197,500","(136,072,500)"
1300,임차보증금,"30,000,000",,0,"30,000,000"
2010,매입채무,"214,600,000","178,300,000","223,020,000","259,320,000"
2020,미지급금,"38,400,000","26,700,000","31,200,000","42,900,000"
2030,미지급비용,"12,900,000","9,400,000","11,800,000","15,300,000"
2040,예수금,"6,800,000","5,900,000","6,400,000","7,300,000"
2050,부가세예수금,"24,300,000","18,600,000","44,200,000","49,900,000"
2100,단기차입금,"150,000,000","30,000,000",0,"120,000,000"
2200,장기차입금,"200,000,000",0,0,"200,000,000"
3010,자본금,"300,000,000",0,0,"300,000,000"
3020,이익잉여금,"186,400,000",0,0,"186,400,000"
4010,매출,0,0,"442,000,000","442,000,000"
4020,이자수익,0,0,"620,000","620,000"
5010,매출원가,0,"318,000,000",0,"318,000,000"
5020,급여,0,"82,400,000",0,"82,400,000"
5030,감가상각비,0,"7,326,666",0,"7,326,666"
5040,  지급수수료 ,0,"6,800,000",0,"6,800,000"
5050,임차료,0,"9,000,000",0,"9,000,000"
5060,통신비,0,"1,240,000",0,"1,240,000"
5070,여비교통비,0,"3,180,000",0,"3,180,000"
5080,접대비,0,"4,260,000",0,"4,260,000"
5090,세금과공과,0,"2,940,000",0,"2,940,000"
6010,이자비용,0,"3,750,000",0,"3,750,000"
,합계,,"2,080,396,666","2,079,146,666",
