거래처,채권금액,30일이내,31-60일,61-90일,90일초과
(주)대성전기,"62,400,000","62,400,000",0,0,0
한울물류(주),"48,200,000","31,000,000","17,200,000",0,0
삼정정밀(주),"41,600,000","41,600,000",0,0,0
(주)동남산업,"38,900,000","20,400,000","18,500,000",0,0
케이엠테크(주),"35,200,000","35,200,000",0,0,0
(주)우진플랜트,"29,800,000","12,300,000","9,500,000","8,000,000",0
남성기공(주),"27,500,000",0,0,"9,100,000","18,400,000"
(주)에스티솔루션,"24,300,000","24,300,000",0,0,0
대한포장(주),"21,700,000","14,200,000","7,500,000",0,0
(주)신흥이앤씨,"18,600,000","18,600,000",0,0,0
정우테크(주),"15,400,000","6,400,000","4,000,000","5,000,000",0
(주)한백소재,"12,900,000",0,0,"4,900,000","8,000,000"
영진기업(주),"11,300,000","11,300,000",0,0,0
(주)미래정공,"9,800,000","9,800,000",0,0,0
성원상사(주),"8,400,000","3,400,000","3,000,000",0,"2,000,000"
태광이엔지(주),"6,100,000","6,100,000",0,0,0
(주)광성엔지니어링,"3,700,000","3,700,000",0,0,0
합계,"415,800,000","300,700,000","59,700,000","27,000,000","28,400,000"
