자산코드,자산명,계정과목,취득일,취득가액,내용연수(년),월상각액,전월누계상각,당월상각비,상각후잔액
FA-001,사무용 책상 20조,비품,2022-03-15,"18,000,000",5,"300,000","15,600,000","300,000","2,100,000"
FA-002,사무용 의자 40개,비품,2022-03-15,"9,600,000",5,"160,000","8,320,000","160,000","1,120,000"
FA-003,복합기 (본사 3층),비품,2021-05-10,"4,800,000",5,"80,000","4,800,000",0,0
FA-004,회의실 프로젝터,비품,2023-01-20,"3,600,000",5,"60,000","2,520,000","60,000","1,020,000"
FA-005,서버랙 및 UPS,비품,2023-06-30,"12,000,000",5,"200,000","7,400,000","200,000","4,400,000"
FA-006,냉난방기 8대,비품,2023-08-12,"16,800,000",5,"280,000","9,800,000","280,000","6,720,000"
FA-007,보안 CCTV 시스템,비품,2024-02-05,"7,200,000",5,"120,000","3,480,000","120,000","3,600,000"
FA-008,사무실 파티션,비품,2024-04-18,"5,400,000",5,"90,000","2,430,000","90,000","2,880,000"
FA-009,노트북 12대 (1차),비품,2024-09-03,"18,000,000",4,"375,000","8,250,000","375,000","9,375,000"
FA-010,정수기 및 급탕설비,비품,2025-01-15,"2,400,000",5,"40,000","720,000","40,000","1,640,000"
FA-011,화물차 1톤 (12가3456),차량운반구,2022-07-08,"28,000,000",5,"466,666","22,399,968","466,666","5,133,366"
FA-012,승용차 (34나5678),차량운반구,2023-11-22,"36,000,000",5,"600,000","19,200,000","600,000","16,200,000"
FA-013,지게차 2대,차량운반구,2024-06-14,"42,000,000",8,"437,500","10,937,500","437,500","30,625,000"
FA-014,포장기 A라인,기계장치,2021-09-01,"84,000,000",8,"875,000","50,750,000","875,000","32,375,000"
FA-015,절단기 B라인,기계장치,2022-11-15,"66,000,000",8,"687,500","30,250,000","687,500","35,062,500"
FA-016,컨베이어 벨트,기계장치,2023-04-20,"48,000,000",8,"500,000","19,500,000","500,000","28,000,000"
FA-017,검사장비 (비파괴),기계장치,2024-10-07,"57,600,000",8,"600,000","12,600,000","600,000","44,400,000"
FA-018,노트북 15대 (2차),비품,2026-07-05,"24,000,000",4,"500,000",0,0,"24,000,000"
FA-019,지장기 C라인,기계장치,2025-03-11,"72,000,000",8,"750,000","12,000,000","750,000","59,250,000"
FA-020,집진설비,기계장치,2025-08-25,"38,400,000",8,"400,000","4,400,000","400,000","33,600,000"
FA-021,전동 파렛트 트럭 3대,기계장치,2025-12-09,"21,600,000",8,"225,000","1,575,000","225,000","19,800,000"
FA-022,품질관리 측정기,기계장치,2026-02-17,"15,360,000",8,"160,000","800,000","160,000","14,400,000"
